ID,Value1,Value2,Value3,OrderField,Active
83,Witte els (grauwe),Alnus incana (L.) Moench,4035,,1
84,Witte en grauwe abeel,Populus alba (+ P. x canescens),6949,,1
85,Wollige sneeuwbal,Viburnum lantana L.,8192,,1
86,Zachte berk,Betula alba L.,4428,,1
87,Zomereik,Quercus robur L.,7101,,1
88,Zomerlinde,Tilia 'platyphyllos' groep,7963,,1
89,Zwarte els,Alnus glutinosa (L.) Gaertn.,4034,,1
90,Zwarte populier,Populus nigra L. var. nigra,6958,,1
91,Zwarte walnoot,Juglans nigra,5977,,1
92,Schietwilg,Salix alba L.,7391,,1
93,Tulpenboom,Liriodendron tulipifera,6183,,1
100,Laurierkers,Prunus laurocerasus L.,7034,,1
101,Zeeden,Pinus pinaster,6829,,1
102,Weymouthden,Pinus strobus,6831,,1
103,Sitkaspar,Picea sitchensis,6805,,1
104,Hemlockspar (Thuja),Tsuga,8064,,1
105,Cipres species,Cipres species,,,1
106,Plataan species,Platanus species,6859,,1
107,Kers species,Prunus species,7041,,1
108,Reuzenzilverspar,Abies grandis,3903,,1
109,Linde species,Tilia species,7965,,1
110,Inlandse eik,Quercus robur/petraea,,,1
111,Liguster species,Ligustrum species,6138,,1
112,Hartbladige els - Italiaanse els,Alnus cordata,4033,,1
113,Witte esdoorn,Acer saccharinum,3916,,1
114,Steeneik,,,,1
1000,braak (unstocked),unstocked,,,1
2000,dood (dead forest),dead forest,,,1
